id,query,hits,time,user_id,ip
929,grand luxe cafe,36,2021-11-01 21:26:35,0,
930,"los angeles, ca",11,2021-11-01 21:33:38,0,
931,orland park il  restaurants,90,2021-11-01 21:53:40,0,
932,orland park il  restaurants,90,2021-11-01 21:53:58,0,
933,summerhouse lincoln park,46,2021-11-01 21:54:01,0,
934,orland park il  restaurants,90,2021-11-01 21:54:47,0,
935,orland park il  restaurants,90,2021-11-01 21:54:50,0,
936,orland park il  restaurants,90,2021-11-01 21:58:40,0,
937,orland park il  restaurants,90,2021-11-01 21:59:35,0,
938,kosher,27,2021-11-01 22:10:52,0,
939,chicago restaurants,151,2021-11-01 22:43:06,0,
940,rpm,44,2021-11-01 22:53:10,0,
941,rosemont,22,2021-11-01 22:56:23,0,
942,new york,57,2021-11-01 23:36:51,0,
943,chicago,127,2021-11-01 23:58:23,0,
944,brewery’s,0,2021-11-01 23:58:48,0,
945,brewery,0,2021-11-01 23:58:54,0,
946,brewery,0,2021-11-01 23:59:08,0,
947,brewery,0,2021-11-02 0:02:22,0,
948,chicago,127,2021-11-02 0:05:45,0,
949,chicago,127,2021-11-02 0:05:48,0,
950,chicago,127,2021-11-02 0:06:09,0,
951,brewery,0,2021-11-02 0:14:37,0,
952,brewery,0,2021-11-02 0:15:41,0,
953,brewery’s,0,2021-11-02 0:15:47,0,
954,brewery,0,2021-11-02 0:15:50,0,
955,l woods,21,2021-11-02 0:16:52,0,
956,l woods,21,2021-11-02 0:17:45,0,
957,pizzeria portofino,40,2021-11-02 0:33:20,0,
958,pizzeria portofino,40,2021-11-02 0:33:22,0,
959,carnival,0,2021-11-02 0:35:32,0,
960,carnival,0,2021-11-02 0:36:06,0,
961,joe’s las vegas,59,2021-11-02 0:36:42,0,
962,joe’s las vegas,59,2021-11-02 0:37:58,0,
963,denver restaurants,75,2021-11-02 0:38:19,0,
964,chicago il,127,2021-11-02 0:55:43,0,
965,chicago il,127,2021-11-02 0:55:46,0,
966,chicago il,127,2021-11-02 0:55:50,0,
967,chicago il,127,2021-11-02 0:55:53,0,
968,chicago il,127,2021-11-02 1:03:31,0,
969,thanksgiving,22,2021-11-02 1:20:01,0,
970,purchase gift cards at maggiano's,36,2021-11-02 1:40:13,0,
971,dallas,1,2021-11-02 1:43:42,0,
972,plano,0,2021-11-02 1:48:33,0,
973,dallas,1,2021-11-02 1:48:55,0,
974,dallas,1,2021-11-02 1:49:06,0,
975,chicago,127,2021-11-02 1:54:37,0,
976,chicago,127,2021-11-02 1:56:17,0,
977,summerhouse,5,2021-11-02 1:57:57,0,
